0:(5,16),(21,29),(27,1),(20,14),(29,25),(25,8),(23,30),(20,23),(15,9),(11,7),(12,18),(30,30),(22,22),(3,27),(27,26),(0,9),(6,14),(24,20),(6,15),(17,19),(18,7),(4,15),(9,10),(0,27),(27,27),(31,27),(13,0),(13,20),(21,20),(3,18)
1:(5,17),(21,28),(27,2),(19,14),(29,26),(25,9),(22,30),(20,24),(15,10),(10,7),(13,18),(29,30),(23,22),(4,27),(26,26),(1,9),(7,14),(24,19),(5,15),(17,20),(18,8),(4,15),(10,10),(0,26),(26,27),(30,27),(13,1),(14,20),(20,20),(3,17)
2:(6,17),(22,28),(27,3),(19,15),(29,27),(24,9),(22,29),(20,25),(16,10),(9,7),(14,18),(28,30),(24,22),(4,26),(25,26),(1,8),(7,13),(25,19),(5,16),(17,21),(18,9),(5,15),(11,10),(0,25),(25,27),(30,26),(13,2),(14,21),(20,21),(4,17)
3:(7,17),(23,28),(28,3),(19,16),(28,27),(23,9),(21,29),(21,25),(17,10),(8,7),(15,18),(28,29),(25,22),(4,25),(24,26),(2,8),(8,13),(25,18),(4,16),(16,21),(18,10),(6,15),(11,9),(0,24),(24,27),(30,25),(13,3),(14,22),(20,22),(5,17)
4:(7,16),(23,27),(28,4),(18,16),(27,27),(22,9),(20,29),(22,25),(17,11),(7,7),(16,18),(28,28),(26,22),(4,24),(23,26),(2,7),(9,13),(25,17),(4,17),(15,21),(17,10),(7,15),(12,9),(1,24),(24,26),(30,24),(13,4),(14,23),(21,22),(5,16)
5:(8,16),(24,27),(28,5),(17,16),(26,27),(21,9),(20,28),(23,25),(17,11),(7,6),(16,17),(27,28),(27,22),(5,24),(23,27),(3,7),(10,13),(26,17),(4,18),(14,21),(16,10),(7,14),(13,9),(1,23),(24,25),(30,23),(13,5),(14,24),(22,22),(5,15)
6:(9,16),(24,26),(28,6),(17,17),(25,27),(20,9),(20,27),(23,26),(17,11),(7,5),(16,16),(27,27),(28,22),(5,23),(22,27),(4,7),(11,13),(27,17),(4,19),(13,21),(16,11),(7,13),(14,9),(2,23),(24,24),(31,23),(13,6),(14,25),(23,22),(6,15)
7:(10,16),(24,25),(28,7),(17,18),(24,27),(20,8),(19,27),(23,27),(17,11),(7,4),(16,15),(27,26),(29,22),(6,23),(21,27),(4,6),(12,13),(28,17),(4,20),(12,21),(16,12),(7,12),(15,9),(3,23),(25,24),(31,22),(13,7),(14,25),(23,22),(7,15)
8:(11,16),(24,24),(28,8),(16,18),(23,27),(20,7),(18,27),(23,28),(17,11),(6,4),(16,14),(26,26),(29,23),(6,22),(20,27),(5,6),(13,13),(28,17),(4,21),(11,21),(16,13),(7,11),(15,10),(4,23),(25,23),(31,21),(13,8),(14,25),(23,22),(7,14)
9:(11,17),(25,24),(29,8),(15,18),(22,27),(19,7),(17,27),(24,28),(17,11),(5,4),(17,14),(25,26),(30,23),(6,21),(19,27),(5,5),(14,13),(28,17),(3,21),(11,21),(15,13),(7,10),(16,10),(5,23),(25,22),(30,21),(13,9),(14,25),(23,22),(8,14)
10:(11,18),(25,23),(29,9),(15,19),(21,27),(18,7),(16,27),(25,28),(17,11),(4,4),(18,14),(24,26),(31,23),(6,20),(18,27),(5,4),(14,12),(28,17),(3,22),(11,21),(14,13),(7,10),(17,10),(6,23),(25,21),(30,20),(13,10),(14,25),(23,22),(9,14)
11:(12,18),(25,22),(29,10),(15,20),(20,27),(17,7),(15,27),(25,28),(17,11),(3,4),(19,14),(24,25),(31,23),(7,20),(18,26),(6,4),(14,11),(28,17),(3,23),(11,21),(13,13),(7,10),(18,10),(6,22),(24,21),(30,19),(13,11),(14,25),(23,22),(10,14)
12:(13,18),(24,22),(28,10),(15,21),(19,27),(16,7),(14,27),(25,28),(17,11),(3,3),(20,14),(23,25),(31,23),(7,19),(17,26),(7,4),(15,11),(28,17),(3,24),(11,21),(12,13),(7,10),(19,10),(6,21),(24,20),(29,19),(14,11),(14,25),(23,22),(11,14)
13:(14,18),(24,22),(28,11),(15,22),(18,27),(15,7),(14,28),(25,28),(17,11),(2,3),(21,14),(22,25),(31,23),(7,18),(16,26),(8,4),(15,10),(28,17),(3,24),(11,21),(11,13),(7,10),(19,10),(6,20),(24,19),(28,19),(14,12),(14,25),(23,22),(12,14)
14:(14,19),(24,22),(28,12),(15,23),(17,27),(14,7),(13,28),(25,28),(17,11),(1,3),(21,13),(21,25),(31,23),(7,17),(15,26),(9,4),(16,10),(28,17),(3,24),(11,21),(11,14),(7,10),(19,10),(7,20),(25,19),(28,18),(14,13),(14,25),(23,22),(12,13)
15:(14,20),(24,22),(28,13),(15,24),(16,27),(13,7),(12,28),(25,28),(17,11),(0,3),(22,13),(20,25),(31,23),(7,16),(14,26),(9,3),(17,10),(28,17),(3,24),(11,21),(11,15),(7,10),(19,10),(7,19),(25,19),(27,18),(15,13),(14,25),(23,22),(13,13)
16:(15,20),(24,22),(28,14),(15,25),(15,27),(13,8),(12,28),(25,28),(17,11),(0,3),(23,13),(20,24),(31,23),(7,15),(13,26),(10,3),(18,10),(28,17),(3,24),(11,21),(11,16),(7,10),(19,10),(7,18),(25,19),(27,17),(15,14),(14,25),(23,22),(14,13)
17:(16,20),(24,22),(28,15),(15,26),(14,27),(12,8),(12,28),(25,28),(17,11),(0,3),(24,13),(20,23),(31,23),(7,14),(12,26),(11,3),(18,9),(28,17),(3,24),(11,21),(11,17),(7,10),(19,10),(7,17),(25,19),(27,16),(16,14),(14,25),(23,22),(15,13)
18:(17,20),(24,22),(28,16),(15,27),(13,27),(12,9),(12,28),(25,28),(17,11),(0,3),(24,14),(20,22),(31,23),(7,13),(11,26),(12,3),(18,8),(28,17),(3,24),(11,21),(11,18),(7,10),(19,10),(7,16),(25,19),(27,15),(17,14),(14,25),(23,22),(16,13)
19:(18,20),(24,22),(27,16),(16,27),(12,27),(11,9),(12,28),(25,28),(17,11),(0,3),(25,14),(20,21),(31,23),(7,12),(11,25),(13,3),(18,8),(28,17),(3,24),(11,21),(11,19),(7,10),(19,10),(8,16),(25,19),(27,14),(18,14),(14,25),(23,22),(17,13)
20:(19,20),(24,22),(27,17),(16,28),(11,27),(10,9),(12,28),(25,28),(17,11),(0,3),(26,14),(19,21),(31,23),(7,11),(10,25),(14,3),(18,8),(28,17),(3,24),(11,21),(11,20),(7,10),(19,10),(9,16),(25,19),(28,14),(19,14),(14,25),(23,22),(17,12)
21:(20,20),(24,22),(27,18),(16,28),(10,27),(9,9),(12,28),(25,28),(17,11),(0,3),(27,14),(19,20),(31,23),(8,11),(9,25),(15,3),(18,8),(28,17),(3,24),(11,21),(10,20),(7,10),(19,10),(9,15),(25,19),(28,13),(20,14),(14,25),(23,22),(18,12)
22:(20,21),(24,22),(28,18),(16,28),(9,27),(8,9),(12,28),(25,28),(17,11),(0,3),(28,14),(18,20),(31,23),(8,10),(8,25),(15,2),(18,8),(28,17),(3,24),(11,21),(10,21),(7,10),(19,10),(10,15),(25,19),(29,13),(21,14),(14,25),(23,22),(19,12)
23:(20,22),(24,22),(28,19),(16,28),(9,26),(7,9),(12,28),(25,28),(17,11),(0,3),(28,14),(17,20),(31,23),(9,10),(7,25),(16,2),(18,8),(28,17),(3,24),(11,21),(10,22),(7,10),(19,10),(11,15),(25,19),(29,12),(21,15),(14,25),(23,22),(20,12)
24:(20,23),(24,22),(29,19),(16,28),(9,25),(6,9),(12,28),(25,28),(17,11),(0,3),(28,14),(17,20),(31,23),(10,10),(7,25),(17,2),(18,8),(28,17),(3,24),(11,21),(9,22),(7,10),(19,10),(11,14),(25,19),(29,11),(21,16),(14,25),(23,22),(21,12)
